Tanggal,Username,Rekomendasi,Review
07 Jul 2024,Amimu,Amimu recommends this product!,"Serum andalanku sejak jaman dahuluuu, benerÂ² sembuhin jerawatku yg meradang. Bekas jerawat juga cepet ilang pake ini, apalagi bonus muka glowiiing. Produk yg bakal selalu ku repurchase, udah pemakaian botol ke 6 lebiih. Karna emg secinta ituu, fix kalian harus cobain terutama yg punya bekas jerawat membandel."
06 Jul 2024,tarithia_,tarithia_ doesn't recommend this product! ,Dengan harga yang lumayan serum ini kurang sih ya karena serum ini enggak bikin jerawatan tapi enggak ngasih pengaruh apa apa juga ke muka padahal kalau liat review hasilnya pada bagus bagus terus juga bau dari serum ini terlalu kimia banget jadinya cukup mengganggu.
06 Jul 2024,Yunayuninda,Yunayuninda recommends this product!,"Mengandung niacimade 10% jadi Bikin cerahan dikulitt memperbaiki kulit dari radikal bebas. menyamarkan noda hitam juga, bikin lembab kulit wajah, ga ada drama drama perih diwajah, makenya pun juga gampang banget. Ga instan yaa tapi kalau rutin ada hasilnya"
06 Jul 2024,Hamida02,Hamida02 recommends this product!,"the real my hollygrail skincare! bener2 sebaguuusss dan secintaa itu! breakoutku parah bgt dan sembuh karena serum ini. cintaa bangetbanget kalian wajib cobaiiin, udah abis 10 botol lebih akuuu. gak pernah gontaganti serum lagi setelah ketmu dia"
05 Jul 2024,silvanka,silvanka recommends this product!,"Produk bagus, cepat meresap dikulit, dulu wajah berjerawat parah, namun setelah rutin menggunakan produk ini jerawat jadi lebih mereda. Harus sabar tapi gak bisa instan, bisa dicoba buat yang berjerawat â¤ï¸â¤ï¸â¤ï¸ð¥²â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸ð¥²ð¥²ð¥²ð¥²ð¥²ð¥²â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸"
05 Jul 2024,ismik_,ismik_ recommends this product!,"karena aku baru pkai sebulan terakhir iniii, sejauh ini aku ngerasa ada perubahan di kulit aku, jd lebih halus bersih cerah jugaa. harga memang ga pernah boong, ada harga ada kualitas. intinya best dehâ¼ï¸ð"
03 Jul 2024,salsants,salsants recommends this product!,"Di awal-awal kerasa mayan keras tapi ternyata aman juga, pernah make pas ada jerawat gede di idung tu kempes bnget setelah tiga hari, cepet banget??! Soalnya skincare lainnya engga ganti, terus pas ada beruntusan juga ngebantu di aku, hiperpigmentation juga memudar. Sayangnya setelah 3 bulan keatas ga terlalu ngaruh apa-apa lagi, jadi stop pakai setelah habis produknya. "
22 Jun 2024,rizkauliyaa,rizkauliyaa recommends this product!,Mencoba mencintai niacinamide lewat produk ini tapi tetap tidak cocok :( kulit lagi bagus2nya pas pakai ini semingguan tiba2 muncul jerawat kecil2 yang berisi. Padahal berharap bgt cocok sm produk ini
22 Jun 2024,ayusgiarty11,ayusgiarty11 doesn't recommend this product! ,"Tekturnya oke, harganya buat kaum mendang mending agak lumayan yahhhh, aku pake ini ga kamaa, waktu jaman break out paraaaaaaahhhhhhhhhh Pas di pakein ini hasilnya biasa ajaaa, Break out nya masih stayy tak berjurang sedikit pun, jadi kami kuramg bersahabat"
20 Jun 2024,sherlynovia29,sherlynovia29 recommends this product!,"Please ini serum bagus parah. Emang brand korea gak bakal ngecewain. Pake ini wajah cerahan,bekas jerawat lumayan pudar dan minyak di wajah gw berkurang banget. Sayangnya sekarang banyak banget yg malsuin. Harus hati"" banget pas beli, apalagi beli lewat online."
19 Jun 2024,iamcaesar,iamcaesar recommends this product!,"Tekstur cair aku suka untuk serum ngga berat, cukup memudarkan bintik hitam dan samarkan pori-pori sih buat aku, so far ok ok aja ga ada masalah, cuma memang agak pricey. Kulitku kombinasi cukup ok kalo dipake di semua tipe kulit. The best lah"
14 Jun 2024,mentaritiara,mentaritiara doesn't recommend this product! ,"banyak yang bilang ini bagus banget karena niacinamidenya tinggi, tp sedih di aku kurang cocok. aku juga kurang suka sama teksturnya kayak lengket gitu di aku gak gampang nyerep dan nimbulin jerawat jugak. trs juga karena ini produk viral pada masanya jadi banyak bgt yang jual kw nya dengan harga jauh di bawah harga official store di e-commerce. inget ya guys konsentrasi tinggi bukan berarti langsung bagus di muka karena blum tentu cocok juga. mending pakenya bertahap tingkatan konsentrasi niacinamidenya"
09 Jun 2024,mayaaurahma,mayaaurahma recommends this product!,"Serumnya bagus banget untuk segala jenis kulit, harganya terjangkau banget, mencerahkan wajah dan bagus untuk kulit berjerawat, cocok untuk saya, tapi pemakaiannya harus sabar berbulan-bulan untuk terlihat efeknya, dan bagus untuk mencerahkan"
09 Jun 2024,fjustiana,fjustiana recommends this product!,INI ITU SALAH SATU PRODUK KESUKAAN AKUU KENAPAAA??? karena diaa tuu kekk emang bikin kulit kering apalagi di kulit aku yang emang basicnya dry skin cuman tu kalo pake moist banyak itu oke bangett jd ga masalah dan dia tu bininc cerahnya cepet bangett
09 Jun 2024,nissamaulinacnr,nissamaulinacnr recommends this product!,"Been using this product for more than 5 years. Dari pertama keluar sampe dibela-belain preorder di femaledailyforum. This serum is a game changer, bener-bener ngebantu kulit gue jadi lebih baik. Sekarang udah banyak yg bikin dupe serum ini, tapi the OG still win"
09 Jun 2024,gisela23,gisela23 recommends this product!,"The Ordinary Niacinamide 10% + Zinc 1% is a skincare game-changer! It controls oil, minimizes pores, and improves skin texture, leaving a matte finish. A must-have for anyone dealing with acne or uneven skin tone. Affordable and effective!"
08 Jun 2024,athchoi407,athchoi407 recommends this product!,"Serum niacinamide yang paling cocok di aku dan paling kerasa hasilnya, bikin kulitku lebih cerah, lembab dan pori pori terlihat mengecil sehingga kulit terasa lebih halus. Akan aku repurchase terus kalau serum ini habis, karena coba di brand lain kurang terlihat efeknya"
08 Jun 2024,Rosalinesa,Rosalinesa doesn't recommend this product! ,Perna trial waktu itu punya adik sendiri yang ga kepakai. Ini aku kombaninasikan sama serum lainnya . Kl full pemakaian aku perna cuma sayangnya ga cocok jadinya aku berhenti. Sayang sekali di indo masih belum offically online store nya karena kl beli di e-commers takut palsu jugaaaa hiks. Selama belum ada Offically store di Indo mending jangan deh . Maap ya
08 Jun 2024,ulfaindriyani,ulfaindriyani recommends this product!,"Serum the ordinary Niacinamide 10% ini bikin kulit halus dan cerah, pakai ini ga bikin kulit gampang jerawatan, bekas-bekas hitam jerawat juga hilang dengan cepat. Serum niacinamide paling ampuh sih yang pernah ku coba. I will repurchase it sih sayang sekarang dapetinnya agak susah"
08 Jun 2024,inezfidela,inezfidela recommends this product!,"Cocok banget yang jidatnya suka jerawatan, semenjak pake ini jadi gak tetlalu berjerawat dan less oily juga mukanya. Jadi gak serih jerawatan dan jika rajin akan mencegah jerawat muncul lagi. Sudah 3x purchase dan ingredientsnya gak se-strong itu"
07 Jun 2024,rahmadanrahma,rahmadanrahma doesn't recommend this product! ,Entah udah berapa belas botol produk ini yang aku sudah habiskan ðSejauh ini produk paling aman buat kulit wajahku yang super sensitif dan juga di umur early 30.Pernah coba pindah ke brand lain dgn kandungan yg sama... Tapi gak cocok ð¥²Berharap ada produk lokal dgn kandungan yg sama bisa cocok buatku karena sebenarnya udah gak pengen pake the ordinary lagi ð
07 Jun 2024,HanidaHanum,HanidaHanum recommends this product!,"Bagus banget produknya, dan cocok banget. Udah beli berkali kali sih, sampe recomendasi ke pasangan sendiri dan pasangan juga cocok banget pake semua rangkaian produk dari white lab. Wah top banget deh pokoknya yuuk yg lain jangan ragu untuk pakai produknya yaa....."
07 Jun 2024,Adeliaaaa18,Adeliaaaa18 recommends this product!,"Udah seringkali pakai cleanser yang satu ini, selain cocok untuk kulit sensitif, harga yg affordable dan sangat bisa membantu merawat kulit kita. Cocok untuk jenis kulit yg mudah berjerawat kaya aku, cleansernya juga punya wangi yg enak banget."
06 Jun 2024,yasmin_thalia,yasmin_thalia recommends this product!,"Serum ini cepat nyerap dan nggak lengket, bikin kulit kelihatan lebih cerah dan pori-pori lebih kecil. Harganya juga terjangkau banget dibanding serum-serum lain yang sejenis. Cocok buat masuk ke skincare rutin sehari-hari."
06 Jun 2024,wafnaaz,wafnaaz recommends this product!,"Pertama kali brand yang aku coba untuk serum niacinamide, selalu suka karena sengaruuuh itu kalo lagi breakout & mencerahkan juga, dulu belinya masih jastip korea gitu tapi sekarang udah ada di Indooo, semoga bisa cobain lagii varian the ordinary lainnya"
06 Jun 2024,RenyAziz,RenyAziz recommends this product!,"Aku pakai The Ordinary Niacinamide 10% + Zinc 1% dari tahun lalu tapi karena saat itu wajahku sedang breakout cukup parah, akhirnya aku menghentikan pemakaian produk ini dan rangkaian skincare lainnya (puasa skincare). Setelah 6 bulan, kondisi kulit wajahku membaik dan akhirnya aku kembali menggunakan serum ini untuk membantu menenangkan kulit dan menghilangkan bekas jerawat."
06 Jun 2024,shaveiraah06,shaveiraah06 recommends this product!,azarine bagus banget ga bikin kusam. keren banget aku bakalan rekomendasiiin produk ini ke temen temen keluarga dan kerabat terdekat aku omgggg i love this brand so much and kalian harus tau ini ga lengket sama sekali di wajah pokoknya bagus bangettt
04 Jun 2024,msrinnerin,msrinnerin recommends this product!,"Serum Niacinamide pertamaku waktu awal kenal skincare, teksturnya kental dan agak lengket di wajah, jadi sebenernya kurang nyaman di wajahku yg berminyak, tapi untuk efeknua tuh bagus banget bener bener bantu cerahkan.. Apalagi si TO ini tuh kandungannya cukup besarnya"
01 Jun 2024,larasoke,larasoke recommends this product!,"Zaman pandemi pernah berakout parah mau nyari spkk takut karena d jakarta lagi tinggi bgt angka covid. karena ordinary lagi hype di tik*ok, ngide buat nyobain trs beli d z*alora. Aku pakai di pagi dan malam hari.. untuk beruntus lumayan meredakan walaupun hasilnya tidak signifikan tapi selama pandemi terbantu bgt sama ordinary niacinamide."
28 May 2024,N1996,N1996 recommends this product!,"Pake produk dari merk ini karena direkomendasiin dokter yang katanya ampuh bikin wajah biar lebih cerah dibanding merk lain, dan setelah nyoba dari 3 brand terkenal lain menurutku sendiri emang lebih ampuh pake ini dibanding yg lain. Konsentratnya juga lumayan tinggi. Tapi menurutku mending coba dari yang rendah dulu sih. Oh ya emang belinya agak susah, harus dari seller yg bener-bener trusted karena yang palsunya juga banyak. Aku sendiri beli dari Venus88 yg pastinya produk original"
21 May 2024,nabilazita,nabilazita doesn't recommend this product! ,"serum ini juara banget sih bagi kalian yg punga kulit berminyak, krn emg bener2 bikin muka ga akan berminyak + cerahin muka sesuai dgn claimnya! tp jujur agak kaget ya setelah pake serum ini ampe abis tuh bikin area muka yg berminyak jd normal, lalu di bagian kulit yg normal jd keringð¥², jdnya aku kurang menyarankan bagi kalian yg kulitnya kering ya! untuk baunya sendiri sih emg bau-bau kimia ya, jd bagi kalian yg sensitif sama bau sih aku bener2 ga rekomen."
20 May 2024,resitavendaaa,resitavendaaa recommends this product!,"produk ini juga salah satu yang dikasih temen kakakku. awal coba rada was-was yaa. apalagi kondisi kulit dulu breakout lepas cream. tapi untungnya dikondisi kulit yang rada sensi serum ini gak bikin makin breakout. malah bikin sedikit mereda jerawatku dan mencerahkan ada banget. habis beberapa botol kok kulit jadi sering sensi gak jelas. dan dulu produk ini banyak yang jual palsunya. karena takut akhirnya gak repurchase lagi. teksturnya thick, warna sedikit keruh, baunya rada aneh tapi cukup cepat menyerap dikulit, ada sedikit rasa lengketnya. mungkin sekarang sudah ada e commerce officialnya jadi gak perlu takut barang palsu."
17 May 2024,mercibica,mercibica recommends this product!,one of my holy grail!! dia oke bgt buat mencerahkan krn niacinnya besar (mukaku tipikal badak yg gak mempan dikasih niacin dosis rendah) aku udah abis 2/3 botol sebelum hype dan muncul kw kw nya hiks sekarang bingung nyari yang ori di mana
07 May 2024,lianaana16,lianaana16 doesn't recommend this product! ,"Ini katanya bagus, tapi di aku ga cocok :') bikin kulit jd kusam malahan, harganya juga pricey, baiknya kalo kulit kalian berminyak cari tau dulu kalian ada yg ga cocok sama kandungannya atau engga.Karena sayang bgt kalo kalian ga cocok karena harganya pricey, tp jgn tergiur harga murah yah, byk bgt yg malsuin produk ini."
04 May 2024,eitsnuu,eitsnuu recommends this product!,"Produknya ringan banget di kulit muka, dan kandungan niacinamide yang tinggi ngebuat nyerahin muka jadi lebih cepet. Tekturnya pun enak dan tidak berbau aneh aneh. Sangat bagusss semoga cepet ada official sorenya agar dapat membeli tanpa takut produk kw"
04 May 2024,rana13,rana13 recommends this product!,"Produknya ringan banget di kulit muka, dan kandungan niacinamide yang tinggi ngebuat nyerahin muka jadii lebih cepet. Tekturnya pun enak dan tidak berbau aneh anehh. Sangat bagus semoga cepet ada official storenya agar dapat membeli tanpa takut produk kw "
03 May 2024,nanind,nanind recommends this product!,"Aku awal pake ini jatuh cinta banget soalnya ini buat kulit lembab dan mencerahkan aku samgat suka sama vadian imi kalian harus coba sih soalmya bakal ngelembabin banget ,uka sama nyerahinnn kalian harus coba pokonya serum terthebast! Suka"
03 May 2024,ershasriayuni,ershasriayuni recommends this product!,"Udah lama pakai ini , serum nya bagus banget sih cocok buat kulit berminyak , cuman agak silikon gitu tekstur nya .. cerahin jg d wajahnya Jg cepat , bikin glowing juga ,trs harga nya juga lumayan ngak yg mahal gitu, cuman skrg emg agak susah aja beli nya ,"
30 Apr 2024,auliask_104,auliask_104 recommends this product!,"Udah pemakaian botol ke 2 dan menurut aku lumayan meredakan jerawat. Karena tipe kulit wajah aku pori besar, jadi harus rutin membersihkan wajah. Kalau sehari kelupaan bersihin wajah dan pakai skincare tetap muncul jerawat. Jadi menurut aku 'yes' repurchase asalkan dipakai rutin"
28 Apr 2024,soyuan1,soyuan1 recommends this product!,"baguss dan ngaruh buat ngilangin PIH (flek hitam bekas jerawat)!! konsistensinya kentel tp cepet banget nyerapnya. baunya gak begitu kecium kok, ga masalah. packaging cuman pipet biasa aja, aman banget kok kalo ketutup dia kenceng dan gak tumpah. super recommendeddd buat ilangin bekas2 PIH"
27 Apr 2024,tupaigoreng,tupaigoreng recommends this product!,"BEST niacinamide serum ever! aku udah cobain banyak banget niacinamide serum dan ini yang paling mantep di aku! ð¤© dia gak ada wangi samsek, bening, agak lengket dan tacky, tapi dia finishnya dry and matte which really helps the oil control throughout my days ð¯ð¥²ð aku suka banget deh intinya, bakalan repurchase terusss "
15 Apr 2024,Jeanvelicia,Jeanvelicia recommends this product!,"Udah pakai niacinamide ini dari tahun 2016, dari awal pakai pun hasilnya keliatan in 1-2 weeks, the skin is smoother, gets less irritated and just brughtens up the face too! disini aku masih ada merah2 karena jerawat bulanan sih, tp overall udah oke banget produk ini! ngebantu beruntusan ku juga"
12 Apr 2024,Nataliamlrn,Nataliamlrn doesn't recommend this product! ,"Entah kenapa dikulit gue kayaknya ga ngefek apa"", ga bikin Ada perubahan mau positif atau negatif mungkin, ga nimbulin jerawat atau bikin brithening gitu, padahal gue berharap banget loh setelah Liat reviewnya mungkin telat nyobain Kali ya soalnya hypenya udah lama"
01 Apr 2024,renraffe,renraffe recommends this product!,"Ini serum terlama yang ku pakai sampe saat ini. Dari pas breakout sampe sembuh masih tetap pakai ini buat kontrol jerawat. Awal pemakaian bagus banget langsung sembuh segala problem di wajah, cuma dipakai kelamaan kayak kurang seampuh pemakaian awal. Dia bantu menghaluskan tekstur wajah, bikin kulit glowing dan pori lebih mengecil. Overall bagus sih dengan harganya yang murah. Cuma harus hati-hati banyak palsunya beredar di marketplace Indonesia. Jangan tergiur harga murah tapi merusak wajah ð"
31 Mar 2024,DivaFadiyah,DivaFadiyah doesn't recommend this product! ,"Gacocok hehe tp kayanya kesalahan aku juga pakainya yg langsung 10% gini, di aku after 3x pemakaian muncul jerawat besar2 di dagu sm hidung. Niacin ini gada aroma apapun ya, teksturnya sedikit kental dan warnanya bening gituu. Padahal.di review orang2 ini ampuh bgt buat ngeratain tekstur kulit, semoga di product The Ordinary lainnya aku cocok"
04 Mar 2024,shintasien,shintasien recommends this product!,"Sumpah ini review terjujur parah, muka ku dulu bruntusan 1 muka dan nyobain produk ini rutin selama 3 bulan sudah ngeliat perubahan yang bagus parah. untuk produk ini aku saranin untuk pakein moisturaizer supaya nggak kering dan tetap lembab. This product worth to try !! "
02 Mar 2024,ilovefriyay,ilovefriyay recommends this product!,"on my way to botol ketiga ð ini definisi serum buat segala permasalahan kulit. dari bisa matengin/kempesin jerawat, nyerahi muka, mudarin bekas jerawat, kulit jadi less gradakan/bruntusan, pokoknya semuanya bisa diatasin sama serum ini! ini satu satunya serum yang aku tetep repurchase ampe skrg karena emg sebagus itu dan selalu works di aku"
25 Feb 2024,hanieluvvv,hanieluvvv recommends this product!,produk serum niacinamide pertama aku untuk hasilny di kulit aku lumayan ngebantu meratakan warna kulit dan sedikit cerahan cuma untuk bekas jerawat hitam menurut aku ini ngga ngaruh aku udah habis dua botol si belum tau mau move on ke merek apa karna di kulit aku yang gampang jerawatan dia ngga bikin jerawatan dan teksturnya ngga berat ringan bngt luvv lah pokonya
23 Feb 2024,orinarini,orinarini recommends this product!,Sempet setahun lebih pake ini dan works like magic dimukaku yang super problematik. Salah satu punggawa niacinamide nih! Sebelum rame di brand lokal. Efeknya tuh ngurangin banget jerawat dimuka dan bener bener bisa mencerahkan. Love deh
04 Feb 2024,Lhiizaa_,Lhiizaa_ recommends this product!,"baru dihari pertama udah keliatan efeknya, wajah dibuat lembab, sebum lebih ke kontrol dan wajah agak glowing. selama pemakaian seminggu dah keliatan banget kok efek cerahnya di wajah. cuma sayangnya skrng nih produk susah banget dapat yg originalnya, kebanyakan palsu jd mesti hati2 belinya di ecommers"
04 Feb 2024,lutfiyahfahma,lutfiyahfahma recommends this product!,baru pertama kali nyoba pakai sarung the ordinary nangisss nampoll emang sebagus itu buat jerawat gua aja aku jadi bersih flek-flek hitam di wajah aku juga perlahan memudar Emang work banget di kulit yang sensitif ini apalagi normal to oily
04 Feb 2024,agisthanadia,agisthanadia recommends this product!,"ini bener bener bagus banget bantu kulit aku yang belang kusam jadi cerah an dan mendingan, bantu banget ngilangin bekas jerawat di muka, bener bener suka banget sama produk nya, apalagi kalo di kombo rutin sama aha bha nya! top banget asli bagus"
03 Feb 2024,avitpspt,avitpspt recommends this product!,"awal pake produk ini itu karna penasaran dan coba-coba, eh ternyata cocok dan keterusan pakai deh. apalagi hasilnya bikin kulit ga kusem dan terlihat bersih. untuk testurnya sendiri ringan dan nyaman saat dipakai. cocok deh pakai peoduk ini"
03 Feb 2024,adinediandra,adinediandra recommends this product!,"efek setelah pemakaian product tuh lembab dan bikin muka cerahan walaupun dia agak pricey tapi dia tetep bikin muka cerah dalam waktu yang terbilang cepat, wajah kusam perlahan balik ke awal lagi soalnya pake product ini, ga nyesel si restock"
02 Feb 2024,lulu1804,lulu1804 recommends this product!,"akhirnya cocok banget sama produk ini aplg serumnya gampang banget meresap, membantu mengurangi munculnya jerawat2 nakal dan membantu banget ngilangin bruntusan kalau kulit lg banyak mau muncul jerawat auto pake serum ini thank youuu"
02 Feb 2024,armitaw,armitaw recommends this product!,produknya bagus dan mudah dipakai mudah digunakan ampuh dalam beberapa minggu brand korea original expired lama sayangnya botol dari kaca jadi mudah pecah serum yang paling lama saya gunakan jadi sudah dipastikan hasilnya min sebulan pakai
02 Feb 2024,Salwain,Salwain recommends this product!,serum niacianamide ordinary ini sangat membantu untuk meningkatkan kecerahan wajah dan tesktur yang light cair dan mudah menyerap membuat wajahku tidak hanya cerah tetapi juga lembab aku sudah pakai ini sejak sekolah menengah atas dengn rangkaian lainnya
02 Feb 2024,ruthelisaaps,ruthelisaaps recommends this product!,"super recommended banget teksturnya ga lengket bikin lembabin muka, all skin type cocok dan ga berat dipakai sebelum make up. biasanya kalau muka kering tinggal dipakai langsung jadi lembab tapi ga oily super bagus buat kalian yang mukanya sama kaya aku!"
01 Feb 2024,rifkaqn,rifkaqn recommends this product!,"pakai ini udah 2 tahunan dari jaman muka breakout. bagus banget buat muka yang kusem, malemnya pake paginya langsung cerahan. apalagi kalo rutin dipake tiap hari. bahkan noda bekas jerawat aja bisa cepet banget ilangnya kalo pake produk ini"
