Tanggal,Username,Rekomendasi,Review
06 Jul 2024,auliamkr,auliamkr recommends this product!,"Salah satu serum favoritku sampai sekarang, aku sudah repurchase 3 botol so far. Cukup melembabkan dan bikin cerah. Bagus juga untuk tekstur kulit. Selama pemakaian tidak ada efek samping apapun, cakep buat skinprep sebelum makeup. Luvvv bgttt"
06 Jul 2024,luluklaras,luluklaras doesn't recommend this product! ,"White lab ini produk yang komposisijya gak neko neko sih. Menurutku ini aman untuk semua jenis kulit mau kering, oily atau kombinasi. Tapi sayangnya untuk produk ini yg klaimnya bisa mencerahkan wfek mencerahkannya masih kurang. Harganya sih affordable"
05 Jul 2024,karinaanov,karinaanov recommends this product!,"awalnya nyobain yg 5% karna takut ga cocok dan ternyata teksturnya enak lumayan nyerahin wajah, terus coba yg 10% dia lebih cepet cerahin dark spot dan ga bikin breakout, menurutku yg 10% lebih kental sedikit teksturnya dr pd yg 5%"
05 Jul 2024,nurul1803,nurul1803 recommends this product!,Tekstur produk ini yaitu kental dan mudah menyerap aromanya harum harganya terjangkau saya memakai produk ini dalam 2 bulandandan hasil setelah pemakaian produk whitelab ini adalah wajah lebih cerah dan menghilangkan pori pori serta jerawat
05 Jul 2024,irinefair,irinefair recommends this product!,"Suka banget sama whitelab serum niacinemide brightening serum yang dose 10%. Beneran nampol di wajah, hasilnya keliatan setelah pemakaian 1 minggu wajah aku jadi cerah, bekas jerawat memudar, wajahku jadi glowing paripurna. Pokonya so luvvvv"
28 Jun 2024,nintias,nintias recommends this product!,"Salah satu dari banyaknya serum brightening yang cocok dan ampuh di kulit aku, karena personally aku banyak coba serum brightening tapi serum whitelab ini yang lumayan ampuh di aku dan paling kelihatan hasilnya after pemakaian. Serum whitelab ini bisa bikin kulit waiah aku jadi lebih cerah dan bisa meratak warna kulit aku. Selain itu serum whitelab ini juga ngasih kesan lembab tanpa bikin kulit jadi kering. "
28 Jun 2024,wulanres,wulanres recommends this product!,"Serumnya ringan dengan tekstur watery gak bikin lengket ataupun ngerasa gerah , untuk efek mencerahkannya perlahan yaa bukan yg beberapa hari dgn signifikant , mungkin bakalan lebih cepat cerah kalau pake serangkaian N10 dose "
25 Jun 2024,chayrabilla2609,chayrabilla2609 recommends this product!,"Selama aku pakai produk whitelab kulit wajah aku jauh lebih cerah, lembab, sehat, tidak kusam & glowing nya natural banget.. whitelab sangat terbaik, setiap kandungan nya bener2 yg terbaik, dan sangat bermanfaat untuk kulitðâ¤ "
25 Jun 2024,shandrawidya,shandrawidya recommends this product!,"aku udah habis 2 botol! bagus banget bener-bener cerahin kulit aku yang kusam dan bisa ngehilangin dark spot. tapi serumnya nempel di pinggir pinggir kemasannya gitu, jadi ada putih putih di leher botolnya. tapi formulanya bagus, worth to buy!"
23 Jun 2024,silviapuspita,silviapuspita recommends this product!,"Whitelab N10-Dose+Brightening Serum ini teksturnya termasuk yang kental yaaa, warna putih bening, ada aroma wangi sweet gitu. Untuk memudarkan bekas jerawat selama 2 minggu sih di aku kurang works tapi kalau untuk mencerahkan kulit yang kusam lumayan bagus. Tp minusnya pipetnya menurutku terlalu gede dengan ukurang botol segitu, jadi bikin produknya kena di piggir pinggir mulut botolnya jadi jadi beleber gitu. Terus juga serumku lama lama jadi oksidasi gitu padahal baru 2-3 bulanan, selama ini baru ini punya serum oksidasi sayang bangettt"
19 Jun 2024,masitaauliarrr,masitaauliarrr recommends this product!,Serum yg baggus untuk mencerahakan wajahhh. Dia ku sih cocok cocok aja tp gatau kenapa dibhari ke 7 agak breakout gatau ini efek purging atau gmnz tp adikku coba serum ini bagus bgt lembab & glowing mencerahkannnya jg lumayan ada. Pdhal di aku tuh ini serum mencerahkannnya nampol bgt
09 Jun 2024,stianiulfa,stianiulfa recommends this product!,"Serum dari white lab ini emang bener bagus dan cocok untuk yang punya masalah kulit kaya aku, cocok untuk melembabkan, memperbaiki skin barien, mencerahkan juga dan ga bikin sensitif dikulit, cocok untuk kulit kombinasi kaya aku, dan harganya dijamin okee bangettt"
09 Jun 2024,tihamy,tihamy recommends this product!,"entah udahh botol yang ke berapa, bener bener bagus banget, Ter the best pokonyaa, harganya masih oke bener bener ngaruh banget di muka aku bakal gua beli teruss si smpe gua tua karna bener bener se bagus itu pokonya kalian harus check out karna bagus banget"
09 Jun 2024,alifa288,alifa288 recommends this product!,"Sukaa bgtt sama serum whitelab inii, awalnya ragu takut ga cocok ternyata cocok apalagi terutama tipe kulitku sensitive tp untungnya cocok, dan memcerahkan juga, harganya affordable bgtt trs kemasannya juga baguss, pokoknya cinta bgtt"
09 Jun 2024,nurulksm,nurulksm recommends this product!,"Serum dengan kandungan 10% Niacinamide untuk mencerahkan kulit wajah, melembabkan kulit, untuk menghilangkan kulit kusam. Mudah lagi dengan kandungan yang worth it. Sillahkan di coba buat pake serum ini soalnya murah dan banyak promo "
09 Jun 2024,vikalistianti06,vikalistianti06 recommends this product!,"Cocok dikulit ku yang berminyakk, pemakaian kurang lebih 6 bulan udah lumayan keliatan hasilnya dan kulit ku lebih baikk dibanding sebelumnya. awalnya juga kusam setelah pakai ini produk muka ku cerahan dan lebih pd lagii tanpa makeup, the best produk!"
09 Jun 2024,vyafranika,vyafranika recommends this product!,"lebih mencerahkan dengan kandungan vit C , ringan ketika di pakai, dan cepat menyerap ke kulit. Mencerahkan kulit secara maksimal. Menyamarkan noda gelap, hiperpigmentasi, dan bekas jerawat. Menyamarkan garis halus dan kerutan pada wajah dan Mengurangi kemerahan pada kulit"
09 Jun 2024,xynnelax,xynnelax recommends this product!,"entah udahh botol yang keberapa, bener bener bagus banget, Ter the best pokonyaa, harganya masih oke bener bener ngaruh banget di muka aku bakal gua beli teruss si smpe gua tua karna bener bener se bagus itu ga kaleng kaleng emang nih produkk"
09 Jun 2024,Oktavianasinaga,Oktavianasinaga recommends this product!,"Serum yang udah entah botol ke berapa yang aku pake. Ter- the best pokoknyaaaa.. harga affordable, kualitas oke, cocok di kulit aku, dan pastinya local product! Bakalan beli lagi untuk seterusnya. Seluruh rangkaian skincare ku hampir semuanya Whitelab! "
08 Jun 2024,naskara,naskara recommends this product!,"Serius ga akan bisa remove brightening serum satu ini, karena emang ngaruh banget bikin muka cerahan. Walaupun harganya effordable tpi hasilnya ituu loh ga kaleng kaleng woooi, bakal gue rephurcase terus terusan sampe nenek nenek luuuvv"
08 Jun 2024,amaliaa14,amaliaa14 recommends this product!,"Belum lama pakai produk ini sih, baru sekitar 2 Mingguan pakai, belum terlalu keliatan hasilnya tapi aku merasa kulitku sedikit lebih cerah, gaada efek apaapa selama pakai produk ini, aman aja. Aku suka juga sama tektur serum ini. Baguuus"
07 Jun 2024,iis72,iis72 recommends this product!,"Produk ini walau yang punya orang indonesia tapi produk ini sudah terkenal dikira ini produk luar lohh, bahkan ini terbukti untuk mencerahkan wajah kita apalagi yang aktif kerja di luar ruangan wajib pakai ini deh biar wajah kita tetap glowing"
07 Jun 2024,HanidaHanum,HanidaHanum recommends this product!,"Bagus banget produknya, dan cocok banget. Udah beli berkali kali sih, sampe recomendasi ke pasangan sendiri dan pasangan juga cocok banget pake semua rangkaian produk dari white lab. Wah top banget deh pokoknya yuuk yg lain jangan ragu untuk pakai produknya yaa...."
07 Jun 2024,astriedanya,astriedanya recommends this product!,"jadiii waktu itukan dia sering ada promo gitu ya, aku beli terus serumya dan coba salah satunya yang ini dan kaget ternyata serum dia tuh bagus loh buat di wajahku. yang tadinya kusam, banyak jerawat di jidat tuh lama-lamajadi membaik dari sebelumnya. LOVE BANGET"
07 Jun 2024,dinecarissa,dinecarissa recommends this product!,udah repurchase 5x ini serum niacinamide dan emang dari awal pemakaian dalam seminggu keliatan bgt kulit cerahan!! buat oily skin jg make banyak gk greasy malah hydrating bgt. sering ada diskon jg di sociolla dan e-commerce rekomen bangwtt!!
06 Jun 2024,syansarmila,syansarmila recommends this product!,Awalnya saya mencoba produk ini karena collab dengan sehun EXO. Saya takut awalnya untuk mencoba produk ini tetapi setelah saya coba saya merasa produk ini cocok dan membuat kulit saya tampak lebih cerah. Next saya akan mencoba beberapa produk lagi dari whitelab
06 Jun 2024,malaas,malaas recommends this product!,"selama seminggu pemakaian, udah bisa keliatan hasil brightening sama melembabkanya. jadi udah bisa kelihatan cerah, bekas jerawat juga jadi sedikit pudar. selama 3 bulan pemakaian udah bagus bgt hasilnya. cukup bikin lembab kulit juga. jadi worth to tryâ¼ï¸ 100% recommended"
06 Jun 2024,nayajx,nayajx recommends this product!,"Aku pake whitelab sejak 2021, kulit aku super kering dan bruntusan banget. tapi sekarang semenjak pake day cream dan sereum A dose nya kulit ku jadi lebih cerah dan bruntusannya semakin berkurang. pake makeup juga jadi lebih ngeblend. super suka sama whitelab pokonya!ððððð"
06 Jun 2024,dirdarling,dirdarling recommends this product!,"Hasilnya bagus dan terlihat dikulit setelah pemakaian satu bulan, membuat kulit nampak lebih cerah dan bagus hasilnya diaku dapat menyamarkan bekas jerawat juga, super suka sama serum white lab yg ini. rekomen dipake sama moiturizernya yg brightening."
06 Jun 2024,deniseu,deniseu recommends this product!,"sejauh ini cuma serum ini yang cocok dimukaku, ga aneh aneh, ringan, mukaku jadi cerah, bekas jerawat juga memudar, aku pake ini udah hampir 3 tahun ga tau deh udah abis berapa botol. oh iya kemasannya juga kecil jadinya bisa dibawa kemana aja, harganya juga terjangkau banget, thanks whitelab"
01 Jun 2024,erixa_putri,erixa_putri recommends this product!,Serumnya ampuh banget buat mencerahkan wajah. Rutin pakai dalam dua minggu aja udah keliatan tone wajah naik dan jadi lebih cerah. Penggunaannya rutin pagi dan malam biar lebih efektif dan tiap hari. Buat sebotol kecil ini dalam dua minggu aja udah abis jadi harus banyak-banyak restock
21 May 2024,Vianneeeeee,Vianneeeeee recommends this product!,"been using this product so long, aku notice muka aku cerahan tapi tuh yg ga cepet juga buat memudarkan pie aku bikin lembab dan mengontrol minyak di kulit wajah aku sih. aku udah recomend serum ini ke temen aku dan dia pun merasa cocok sama serumnya."
21 May 2024,Kynulia,Kynulia recommends this product!,"Serum dengan niacinamide 10% teksturenya enak mudah diratakan, ada wanginya tapi enak ga bikin pusing, yg penting buatku bikin lembab dan ga bikin kering untuk efek mencerahkannya blm terlalu keliatan karena baru pakai bbrp minggu sofar aku rekomended serum lokal ini.. "
20 May 2024,khlnnisa,khlnnisa recommends this product!,"Another purchase dr whitelab yg aku sukaa! Teksturnya ringan jd gampang nyerap dan gak greasy ok bgt. Untuk brighteningnya kurang keliatan siih di aku, tapi dia bantu bgt buat calming jerawat. Harganya lumayan okk, wanginya jg gak ganggu! heheh overall love it"
20 May 2024,DewiMaharanii16,DewiMaharanii16 recommends this product!,"mau sungkem sama N10,ð­ð­ð«¶ð«¶ð dlu wajah aku bnyk banget beruntusan di keningð£, kusam banget, bnyk hitam"" bekas jerawat, jdi gak PD kalau keluar rumah..ð£ð£ð sejak pakai N-10 beruntusan terhempas kan,ð¥¹ð meskipun kadang suka begadang, tpi gk ada beruntusan di jidat lagiðð gk kusam lagi, dan kalau setiap ada bekas jerawat, pasti cepat memudar +- 10 harian geys,dan aku selalu stok N-10 di rumahð«¶"
15 May 2024,nandsonya,nandsonya recommends this product!,Aku pake ini kurang lebih 2 mingguan. Dia meredakan kemerahan di kulit. Buat mencerahkannya belum keliatan karena baru pake 2 minggu. Salah satu niacinamide option yang bisa aku rekomendasiin ke kalian karena dia ringan dan ga bikin purging di dosis 10 ini
13 May 2024,Resty4,Resty4 recommends this product!,Gak nyangka kalo sebagus itu pantes banyak yang suka ya. awalnya beli karna fomo haha tapi kok ngaruh hasilnya. Teksturnya light enak dipakainya. Progressnya juga bagus buat memudarkan bekas jerawat. Menurut ku kurangnya cuma di sizenya sih agak kecil ya hehe.
08 May 2024,karinprmtkrl,karinprmtkrl recommends this product!,kalau muka aku kusam atau sumuk gitu pasti aku langsung pake serum ini sih. berhubung aku cocok sama niacinamide aku langsung pilih serum ini. teksturnya cair jadi mudah meresap ke kulit wajah. biasanya aku pake di pagi dan malem hari. dan serum ini ga menimbulkan breakout di kulit wajah aku
05 May 2024,silvaniwlndr,silvaniwlndr recommends this product!,"Produk tersebut dapat melembabkan kulit, menjaga kulit agar tetap lembab, tidak menyebabkan ititasi pada kulit, dapat mencerahkan wajah, menjaga ph kulit agar tetap lembab, memberikan hasil elastis pada kulit dan kulit menjadi lebih lembut"
04 May 2024,hafsahrayi,hafsahrayi recommends this product!,pengalamanku memakai produk whitelab serum ini bagus untuk mencerahkan wajah asalkan rutin dalam pemakaiannya karena butuh proses. Harganya juga terjangkau untuk kalangan mahasiswa dan aku bakal reurchase serum ini lagi kalo udah habis
03 May 2024,Ernikustiyani,Ernikustiyani recommends this product!,"Salah satu serum kecintaan bangett,cocok banget di wajah ak dan bikin kulit cerah,kenyal,glowing pokonya sukaaa bangett sama serum satu inið garis garis halus dan bekas jerawat terhempas sudah pokonya ini tuh rekomendid bgt buat kalian yang Masi galau cari serum yg harganya friendly tapi hasil bagus"
03 May 2024,cacacica,cacacica recommends this product!,"serum whitelab waktu aku SMA itu pas keadaan muka aku penuh flek hitam pertama kali aku pake whitelab serum itu beberapa bulan atau beberapa hari flek aku hilang aku juga udah nyoba sabun,cream nya juga keren banget intinya white lab cocok di aku"
01 May 2024,Riskawa,Riskawa recommends this product!,"Senang banget coba serum satu ini. Texture yang cair agak kental mudah meresep dikulit plus after pemakaian kerasa lembab kulit dan enggak lengket. Meskipun ada niacinamide 10% menurut aku ini serum enggak kasih efek cenat cenut di kulit, emang seramah itu di kulit. Buat dapatin cerahnya cepat sih semingguan lebih udah kelihatan cerah kulit aku."
28 Apr 2024,bestmyself,bestmyself doesn't recommend this product! ,"Untuk segi mencerahkan, serum ini gak memberikan efek apapun di kulit wajah aku.Tapi serum ini buat kulit aku lembab dan keliatan glowing after pemakaiannya,kulit aku jadi kelihatan sehat banget.Tapi karena kandungan niacin di serum ini tinggi, di kulit aku gak cocok di pakai rutin misalnya dua kali sehari gitu, soalnya malah buat area dahi aku jadi muncul bruntusan kecil-kecil.Jadi di kulit aku serum ini cuma ngasih kelembaban aja, ga lebih, padahal udah habis 2 botol."
27 Apr 2024,zsalzsabilaps,zsalzsabilaps recommends this product!,"Menurut aku prokduk nya bagus banget, 1 minggu pake udah keliatan banget hasil nya. Sampe pada nanya â sekarang pake apa? cerahan ya mukanya â Sampe mikir Segelap itu kah aku kemarin2?ð« Udah habis hampir 4botol dalam 3bulan. Semoga kalian cocok jugaaaa "
26 Apr 2024,aeliii,aeliii recommends this product!,"akuuu cocok pake iniiii.. karena aku gak cocok sama vit c jadi aku pake niacin. setelah beberapa hari pemakaian tuh langsung keliatan perubahannya tapiii setelah pake serum harus pake moist yaa.. soalnya aku pernah kehabisan moist jadi cuma toner sm serum aja, hasilnya gak keliatann :(( btw kalau baru mau coba pake yg n5 dulu aja kalau uda ngerasa cocok baru pake n10. tapi yah n10 lebih nampol si"
24 Apr 2024,RahmaAmay,RahmaAmay recommends this product!,Parah sih saya pake serum ini nagih banget karena bisa memudarkan bekas jerawat dan teksturnya pun dia ga lengket dan bisa bikin cerah juga pokoknya best banget saya suka dengan produk ini semoga di event bandungxbeauty2024 sekarang bakal ada diskon parah
20 Apr 2024,ardeldels,ardeldels recommends this product!,Main skincare aku! Beneran wajib banget ada deh. Bahkan aku udah lupa berapa kali aku repurchase saking selalu beli pas lagi tgl cantik di toko oren ð beneran sesuai claim nya yg bisa mencerahkan terus di kulitku ga muncul efek aneh2 apapun. Amaan banget yaa sejak aku pertama kali pakai di pertengahan tahun 2022. Harganya juga buat kantong mahasiswa spt aku sih amaan yaa. Worth to buy bangett deh ðð
19 Apr 2024,fitrianatahar23,fitrianatahar23 recommends this product!,"make ini dari 2 tahun lalu. awalnya beli krna udh approve by tasya. cmn pas bbrp minggu make ini, muka lebih bersihan, trs bekas jerawat juga cepet pudar make ini. sempet beralih ke skin1004, tp menurut aku dia ga seberpengaruh whitelab. alhasil make whitelab lagi deh wkwk."
15 Apr 2024,refannilysianap_,refannilysianap_ recommends this product!,ini bagus okey juga sih tapi menurut aku ini teksturnya keenceran gasie ? :( aku keracunan influencer sih waktu itu jadi aku coba beli tapi lumayan okey si lumayan cocok di aku dan sempet aku repurchase juga tapi gapapa ini baguss koo kalian cobain juga yaa
09 Apr 2024,honaleva,honaleva recommends this product!,"Sebenernya oke oke aja gak bikin beruntusan juga, tekstur produknya juga enak banget. Cuma aku udah abis 2 botol kaya ga ada perubahan apa-apa? Lembab aja di wajah tapi gak dapet efek mencerahkan, bekas jerawat juga segitu-gitu aja gak memudar gitu"
26 Mar 2024,adehadian20,adehadian20 recommends this product!,"whitening serum pertama ku. karena di whitelab suka banyak promo dan diskon gitu. setelah survei ini itu pun pilihan jatuh ke whitelab. baru pake 1botol, tapi hasilnya cukup lumayan sih. harus di kombinasi dengan produk yang lain juga biar maksimal. tapi aku suka"
