Tanggal,Username,Rekomendasi,Review,Informasi Tambahan
28 Sep 2024,PutriAbdurrachman,PutriAbdurrachman recommends this product!,"Suka banget sm somethinc niacinamode untuk kulitku yg kering, kusam, bruntusan dan warna tidak merata... Aku udah beli berulang kali tiap habis pasti beli lagi, beli waktu sale tu beneran bisa nyetok buat sebulan atau dua bulan guysBisa dipakai untuk layer serum lain yaa",Usage Period : More than 1 year Purchase Point : Shopee
27 Sep 2024,ririco,ririco recommends this product!,"Secara kemasan, higenis banget sihhh, soalnya dia pump dan bisa di lock jadi aman banget kalau dibawa bawa. Menurutku somethinc yang 5% jauh lebih nampol dr yang 10%. Di kulitku yg kombinasi cocok banget, gak terlalu kering tapi ga terlalu lembab sampe berminyak juga. Paling cocok buat yang kulitnya beruntusan sihh, tapi kalau buat ngilangin bekas jerawat menurutku kurang nampol kalau dipake sendiri ð",Usage Period : 6 months - 1 year Purchase Point : Tiktok Shop
26 Sep 2024,ssabellafp2,ssabellafp2 recommends this product!,Ini honest review. Aku beli di shopee langsung full size 40 ml pede aja bismillah. Pertama kali pakai ada efek tingling nyelekit perih panas dikit gitu efeknya sampe agak gosong kayak kebakar tapi bismillah gapapa nyoba dan lama kelamaan kulitku udah adaptasi sama serum ini. Aku udah pakai 2 bulanan lebih dan hasilnya jerawatku dan bekas jerawat mulai memudar alhamdulillah. Tekstur serumnya cair banget kayak air mudah nyerap di kulit. Aku suka sih serum ini membantu kulitku banget. Thank you somethinc dan thank you femaledaily telah memberi wadah untuk yang lagi bingung cari review produkÂ² dan yg pengen memberi review pada produk2 yang udah dicoba. Kandungan serum ini bagus banget cocok buat pemula yang mau coba niacinamide serumð«¶ aku dapet harga murah banget 90rb an flash sale di shopee. Untuk aroma ga ada aroma menurutku,Usage Period : 1 month - 3 months Purchase Point : Shopee
26 Sep 2024,chaerunnisamrwh,chaerunnisamrwh recommends this product!,"Serum niacin dari somethic selalu cocok dimukaku.. Beberapa brand kadang ada yang sampai bkin mukaku beruntusan, tapi untuk somenthic ini cocok banget mungkin jatuhnya dimukaku lebih calm. untuk niacin ini klu aku pakai sendiri kadang krg bgt hasilnya. biasanya aku campur retinol baru kelihatan hasilnyaa. mencerahkan nya dapat banget",Usage Period : 3 months - 6 months Purchase Point : Shopee
25 Sep 2024,yemimapd,yemimapd recommends this product!,"Aku pakai somethinc dari aku lulus smk yaitu di 2020 dan sampai sekarang aku stok serum ini karnaa jujur di kulit akuu bener bener cocok, muka ku cerah dan ga belang, ga bikin jerawatan, dan bisa di mix and match juga pakai serum lain. Menurut aku worth to try buat kalian yang masi bingung pakai serum apa hehehe selamat mencoba",Usage Period : More than 1 year Purchase Point : Tiktok Shop
25 Sep 2024,sherryls,sherryls recommends this product!,"serum ini aku pakai sebelum sunscreen di siang hari, bikin glowing after effect nya dan juga bikin sunscreen lebih nempel (aku pakai innisfree no sebum) uda pakai ini dr lamaa tapi sempet berhenti beralih serum. setelah pakai combo 2 serum (somethinc phyto serum) di malam hari dan pakai niacinamide di siang hari, muka jadi bersihannn. repurchase ? Yes Yes Yes",Usage Period : 1 month - 3 months Purchase Point : Tiktok Shop
24 Sep 2024,sriimulyanii,sriimulyanii doesn't recommend this product! ,"Gak begitu kelihatan sih perbedaan nya. Gak bikin jadi cerah juga. Cuma yang aku notice, serum ini bikin kondisi kulit lebih baik lah. Yang biasanya kulit ku kering banget, jadi agak lembab, trus selama pakai ini gak pernah jerawatan. Kaya nya dia ngebantu buat skinbarrier sih. Tapi gak tau juga lah. Soal nya gak begitu signifikan",Usage Period : 3 months - 6 months Purchase Point : Shopee
23 Sep 2024,missindriii,missindriii recommends this product!,"Dulu masih belum riset tentang konsentrasi maksimum dari niacinamide yang akan memberika efek pada kulit jadi memilihnya masih berdasarakan konsentrasi yang paling tinggi, padahal konsentrasi 5% saja sudah memberikan efek yang paling maksimal. Pemakaian rutin membantu mencerahkan kulit. Teksturnya nyaman banget saat diaplikasikan di kulit dan nggak lengket. Harganya juga affordable.",Usage Period : 3 months - 6 months Purchase Point : Shopee
23 Sep 2024,ichakarr,ichakarr recommends this product!,"Serum ini juara banget! Teksturnya ringan, cepat meresap, dan nggak lengket di kulit. Setelah rutin pakai, kulitku jadi lebih cerah, lembap, dan bekas jerawat pelan-pelan memudar. Serum ini juga bantu kontrol minyak tanpa bikin kulit jadi kering. Pokoknya, must-have banget buat skincare routine!",Usage Period : 1 week - 1 month Purchase Point : Shopee
22 Sep 2024,dinadahliana,dinadahliana recommends this product!,"Luvluvluv ðSudah bertahun-tahun pakai niacinamide berbagai macam merk, ga ada satu merk pun yang bikin kecewa. Dari produk yang di bawah harga 50rb sampai di atas 50rb. Yang membedakan hanya efektivitasnya. Untuk somethinc niacinamide ini efeknya makjos, langsung kelihatan dalam sebulan pemakaian. Selain mencerahkan, niacinamide juga memberikan efek melembabkan - jadi gausah pakai pelembab lagi setelahnya, juga sebagai antioksidan yang cocok dipakai di rangkaian skincare pagi. ",Usage Period : 3 months - 6 months Purchase Point : Tiktok Shop
21 Sep 2024,chenrry,chenrry doesn't recommend this product! ,"Ga cocok dari pertama pakai ........Sedih banget biasanya pakai niacinamide merk apapun cocok, begitu yg ini langsung jerawat menyerangKapok pake yg ini sorry... Jadinya buat leher dan tangan aja daripada ga kepakeUntuk serum somethinc kayaknya aku memang ga cocok",Usage Period : 1 week - 1 month Purchase Point : Shopee
09 Sep 2024,AzizahWidyasti,AzizahWidyasti recommends this product!,"awalnya cocok banget pake yang 5%, iseng nyobain yang 10% DAN TERNYATA COCOK. gaada efek yang aneh-aneh sejauh ini, kusamnya memang berkurang tapi gak terlalu signifikan dan cukup menyamarkan tampilan pori pori.aku pake ini juga aku layer dengan serum somethinc lainnya, sejauh ini gaada respon yang mengecewakan. serum yang aku layer bareng produk ini kadang serum somethinc yang hyaluron dan diamond",Usage Period : More than 1 year Purchase Point : Shopee
31 Aug 2024,Saliey_Octaviani,Saliey_Octaviani recommends this product!,"This is my first time for using this product. Well, ketika product diaplikasikan sih terasa ringan di wajah dan cenderung ke cair. Dia di wajahku yang kombinasi ga bikin break out tapi juga efeknya ga se wow yang aku bayangkan sih. Ya memang di efeknya ga memutihkan tapi mencerahkan jadi ya wajar sih. Boleh dicoba koq product ini untuk first time user of Niaciamide.",Usage Period : 1 week - 1 month Purchase Point : Shopee
30 Aug 2024,Elinaaa15,Elinaaa15 recommends this product!,"First time pakai serum ini buat mencerahkan OK banget langsung keliatan hasilnya, dan tekstus serumnya cair, ringan, mudah menyerap di kulit. Cocok digunakan padi dan malam walau agak pricey tapi hasil memuaskan. Yukk di cobaaa~",Usage Period : 1 month - 3 months Purchase Point : Lazada
22 Aug 2024,jellybeans210,jellybeans210 doesn't recommend this product! ,"beli ini sampe 3 botol karena aku pikir mungkin aku pake nya kurang lama jd efeknya gak keliatan , tp ya setelah botol ke -3 ttp aja gak ada perubahan , mngkin kurang nampol di muka aku.gak ada efek pencerahnya atau apapun . tp ya muka aku juga gak yg jd jerawatan atau gmn2 . ",Usage Period : 1 month - 3 months Purchase Point : Shopee
20 Aug 2024,Nuoctavy28,Nuoctavy28 recommends this product!,"wah ini serum niacinamide yg lagi aku coba dan sejauh ini aman sih buat kulit sensitifku ini. karna dia ada 2 pilihan buat niacinamide ini, ada yg 5% dan 10%. nah kulitku itu cocoknya yg 5%. so far kulitku ga breakout sih setelahnya, malah jadi lebih bersih dan noda jerawat agak berkurang. cuma aku emang pakainya 2 atau 1x seminggu aja",Usage Period : 1 month - 3 months Purchase Point : Shopee
18 Aug 2024,anggit_nin,anggit_nin recommends this product!,"Pas aku mau repurchase serum somethinc yang niacinamide sempet bingung. Loh kok yang biasa gue pake gak ada ya. Ternyata mereka sekarang ngeluarin versi barunya. Dimana niacinamidenya yang dipake jadi 10%, dalem hati sempet bilang wah tinggi juga ya. Trus sempet bertanya tanya aman gak ya kalo dipake tiap hari? Ternyata di aku aman-aman aja sih btw aku pakenya cuman dipagi hari aja. Kerasa sih yang ini lebih nampol hasilnya. Kayak lebih cepet aja gitu berasa wajah lebih cerahnya dan bekas jerawat memudar. ",Usage Period : 3 months - 6 months Purchase Point : Shopee
16 Aug 2024,shiellanoveliaa,shiellanoveliaa doesn't recommend this product! ,"Aku pakai ini karna serum niacinamide dari the ordinary aku habis.. sayangnya serum ini biasa aja di aku, ga ada efek yang signifikan kayak pas pake merk sebelumnya. Menurut aku produk ini so so aja.. mencerahkan engga, meratakan warna kulit juga engga ð­",Usage Period : 3 months - 6 months Purchase Point : Shopee
15 Aug 2024,dwivaa,dwivaa recommends this product!,"Enak dipakenya, cepet nyerep dan nggak lengket. Walaupun katanya ini buat semua jenis kulit, tapi menurutku untuk yg kulit kering bisa ditambah produk lain yg menghidrasi biar tetep plumpy kulitnya. Di kulitku yg paling berasa tuh efek mencerahkan dan menyamarkan pori2, trus berasa kayak jadi nggak terlalu berminyak juga mukanya. Cuma untuk menghilangkan noda bekas jerawat sepertinya memang butuh waktu lebih lama lagi, apalagi aku cuma pake sample jadi pasti belum terlalu ngefek ke arah situ. Sama yang aku sayangin juga pipetnya ya. Entah ini cuma aku aja atau gimana tapi mungkin karena produk sample, isinya dikit, jadi susah banget diambil pake pipetnya. Kayaknya lebih enak kalo kemasannya airless pump biar gampang ngambilnya dan bener2 bisa diabisin sampe tetes terakhir.",Usage Period : 1 month - 3 months Purchase Point : XBeauty by Female Daily
13 Aug 2024,Cresencindy,Cresencindy recommends this product!,"Dapat lagi serum ini dari temanku dan udah habis terpakai. Serum Ini adalah solusi ideal bagi yang ingin mencerahkan kulit sekaligus menjaga kelembapan. Serum ini mengandung niacinamide yang dikenal efektif dalam mengurangi hiperpigmentasi, menyamarkan noda bekas jerawat, dan mengurangi tampilan pori2. Kandungan Sabi Beet dalam serum ini menambah manfaat dengan memberikan hidrasi yang mendalam, sehingga kulit terasa lebih lembut dan halus.Formula serum ini ringan dan mudah meresap, membuatnya nyaman digunakan setiap hari tanpa meninggalkan rasa lengket. Dengan penggunaan rutin, serum ini membantu meratakan warna kulit, memberikan tampilan yang lebih cerah dan segar. Selain itu, kombinasi bahan aktifnya juga membantu memperkuat skin barrier, melindungi kulit dari faktor eksternal yang dapat menyebabkan kerusakan.",Usage Period : 3 months - 6 months Purchase Point : Gift
11 Aug 2024,acaaaaaaaaaaaaaa,acaaaaaaaaaaaaaa recommends this product!,"ini buat kulit oily kayaknya ga banget deh.. apalagi kalau pake banyak, bakalan jadi lengket dan greasy bgt di wajah.. aku merasa produk ini gaterlalu nyerep diwajah gt loh.. untuk dry skin, mungkin ini brighening serum yang cocok karena lumayan lembab dan berasa banget becek dan glowingnya. untuk mencerahkannya berasa sih, tapi ga terlalu signifikan, bagusnya di aku ga bikin gatel dan efek negatif jg gaada, tapi ini not for me aja ya..",Usage Period : Less than 1 week Purchase Point : Sample
31 Jul 2024,olaann_,olaann_ recommends this product!,"seperti serum pada umumnya, cobain pake 1 botol dan tidak membuahkan hasil yang signifikan kerasa lembab aja. tekstur agak kental tapi cepat meresap, bisa dipake pagi dan malem. ya okelah yang lagi cari"" serum niacinamide ini harus di coba juga siapa tau cocok",Usage Period : 1 week - 1 month Purchase Point : Lazada
30 Jul 2024,ShalshaTriAmaliah,ShalshaTriAmaliah recommends this product!,"Selama pemakaian serum ini aku sangat sukaa, teksturnya yg cair tapi nyerap cepet di wajah. Dia bener bener nyerahin si di wajahku yang kusam, tapi harus sabar ya karena hasilnya keluar setelah beberapa kali pemakaian. Harganya juga lumayan terjangkau untuk para pelajar sepertiku ini yang mengusahakan cantik dengan kulit wajah yang sehatð¥°ðð»",Usage Period : More than 1 year Purchase Point : Shopee
30 Jul 2024,Naylaaudyna,Naylaaudyna doesn't recommend this product! ,"Niat hati pen cerahin muka yg kusam akhirnya cb lah niachin ini kata orng2 bagus buat pemula, udh pake tapi gaenak poll diwajah bikin greasy dan gatel2 trs mukaku jd merah2 gara2 gatel2 ituUdh ku cb sampe sebulan bukannya bikin muka ku cerah malah nambah jerawat",Usage Period : 1 month - 3 months Purchase Point : Shopee
28 Jul 2024,khafmaa,khafmaa recommends this product!,"Ini sebenarnya best niacin yang pernah aku punya, aku sampe repuchase berkali2 karena aku pkaein bareng sama yg hyalu dan retinol biar wajahku glowing. Tapi aku suka yg versi dulu. Yang versi sekarang kayany aku kurang cocok karena emang beda kandungannya jadi sekarang aku coba yg lain dulu. Tapi ini best sih. ",Usage Period : More than 1 year Purchase Point : Brand Website
26 Jul 2024,Mah,Mah recommends this product!,"Baru pertamakali nyoba serum Niacinamide karena muka lagi belang banget karena sibuk kerja dilapangan ditambah tekstur kulit lagi ga baik. Serum ini beneran bagus banget si, pemakaian seminggu kulit wajah ku bener2 jadi halusss bangett, pas pemakaian sampe 2 Minggu mukakuu bener2 jadi keliatan cerah. Jerawat on off ku juga cepat banget kempesnya. Produk lokal ga mengecewakan si iniiii. Walaupun bekas jerawat ku jg masih ada ga yang bener2 hilang tapi lumayan memudar bangetttt ð bakalan beli lagi sih iniiii ",Usage Period : 1 week - 1 month Purchase Point : Shopee
25 Jul 2024,Rostika_Maelani,Rostika_Maelani recommends this product!,"Dulu tuh pernah pakai yang sabi beet 5% dan beneran bikin wajahny lebih cerah. Karena yang 5% aja hasilnya udah oke setelah 1 atau 2 botol full size 40ml, akhirnya sok ngide naikin ke dosis yang 10%. Aku sih mikirnya pasti hasilnya bakal lebih WOW daripada yang 5%.Eh tetelah habis 1 botol full 40ml kok hasilnya malah gak ada perubahan ya?Ternyata katanya ada jenis kulit yang pakai 3% bahkan maksimal 5% aja dosisnya bagusnya di dosis itu, malah pas dosis tinggal gak ngefek.Akhirnya balik lagi sekarang ke yang 5% mumpung dapat harga murah banget pas ckout, baru pakai lagi beberapa minggu ini dan udah repurchased lagi karena takut kebahisan dan kebetulan dapat dicount lagi dong.Gak tau nih akhir-akhir ini sering dapat dicount beli di e-comers, bukannya jadi hemat malah jadi boros karena semua dibeli huhuhu seding tapi senang juga.Ih apa sih jadi gak jelas gini reviewnya.Udah ah nanti aku balik lagi kalau udah ada progress yaâ¦ bubae",Usage Period : 1 week - 1 month Purchase Point : Shopee
21 Jul 2024,reztinayah,reztinayah doesn't recommend this product! ,Gatau yaa aku pake ini sampe abis trus repurchase lagi kan kirain efeknya tuh harus di botol ke berapa gitu biar keliatan. Cuma pas aku nyobain di botol kedua kok bener-bener ga ada perubahanð¥² aku beli ini pdhl kemakan iklan gara gara kek semua org pada beli ini loh. Kecewa bgt ternyata hasilnya b ajað­,Usage Period : 3 months - 6 months Purchase Point : Shopee
19 Jul 2024,zaraaini45,zaraaini45 recommends this product!,"Ini dia serum niacinamide pertamaku, sebagai orang yang sangat sangat cocok dengan niacinamide aku happy banget bertemu dengan produk ini. Mencerahkan bisa, melembabkan oke, memudarkan bekas jerawat juga boleh. Sebelum beralih ke whitelab yang lebih murah serum ini tetap bintang 5",Usage Period : More than 1 year Purchase Point : Shopee
13 Jul 2024,hennylimdr,hennylimdr recommends this product!,"Produk ini enggak kupakai rutin, cuma kupakai waktu ke luar negeri (musim dingin, musim semi). Kalau kulit udah mulai pecah-pecah atau muncul scratches/cracks gara-gara udara kering, 2-3 tetes produk ini udah cukup untuk âmembatalkan kulit pecah-pecahâ. Tapi anehnya waktu kupakai di Indonesia, teksturnya terasa jauh lebih lengket dan thick. Entahlah mau kasih rate berapa, ini beneran kasus khusus yang unik.",Usage Period : 6 months - 1 year Purchase Point : Shopee
13 Jul 2024,Sharazasafa,Sharazasafa recommends this product!,"Kulit aku itu kusam, agak dry dan aku memang mancsri serum yang cocok untukku yang sedsng menyusui, setelah aku searching akhirnya aku dapat serum yang cocok . Aku pakai setiap malam biar meresap kedalam dan hasilnya bagus sekali kulitku lebih cerah dan lembab",Usage Period : 1 month - 3 months Purchase Point : Shopee
08 Jul 2024,ginagaryn,ginagaryn recommends this product!,"Dapet sample size nya, suka sih baru pemakaian 2 kali melembabkan kulit aaku yang kering, next mau repurchase buat full size nya. Tekstur nya cair ya kayaa serum pada umumnya, mudah menyerap juga, wanginya kaya ada manis bunganya gitu tapi gak terlalu",Usage Period : Less than 1 week Purchase Point : XBeauty by Female Daily
07 Jul 2024,anindaira,anindaira recommends this product!,"Teksturnya kentel, baunya ga nyengat. Awalnya cuma iseng aja nyobain punya temen. Ternyata suka pol. Langsung deh checkout sendiri di aplikasi female daily . Selain bikin kulit jadi terhidrasi dia juga bikin kulit kenyal dan memperbaiki skin barier",Usage Period : More than 1 year Purchase Point : Female Daily Studio
07 Jul 2024,Sut,Sut recommends this product!,"Cocok bgttt buat yg ingin glowing .. saran aja klau pengen glowing pakeknya malam aja biar paginya langsung keliatan glowingð (*pengalaman sendiri ini) cocok buat oily skin, harganya juga terjangkau klau pengen murah belinya pas tgl kembar klau ngga pas promo. Belinya disini juga murah yaaa ",Usage Period : More than 1 year Purchase Point : Shopee
07 Jul 2024,Faranurin,Faranurin recommends this product!,"bagus sih jadi dulu oake yg 5% dulu nah abistu baru nyoba yg 10%, awal awal emang lumayan ngaruh sih dibkukit jd cerahan trs meratakan warna kulit juga cuman pas repurchase kedua kok idah ga terlalu ngaruh yaa gatau kenapa tp so far bagus kok gada efek negatifnya di kulit",Usage Period : 6 months - 1 year Purchase Point : Shopee
07 Jul 2024,tria07,tria07 recommends this product!,Salah satu produk brighteninv yang cocok untuk sensitif skin ga bikin iritasi dan perih di kulit dikombinasi sama product hidrating makin bagus hasilnya. Emang ga instant tapi cukup buat mudarin bekas jerawat dan meredakan kemerahan di wajah,Usage Period : 1 week - 1 month Purchase Point : Shopee
07 Jul 2024,mariasdn,mariasdn recommends this product!,"Serum brightening terlihat efeknya, nyamarin bekas jerawat yang menghitam sama bikin kulit cerah bertahap meskipun pake nya dikit dikit, aku pakai di malam hari meskipun paginya bikin kulit berminyak tapi efek brightening nya oke banget",Usage Period : More than 1 year Purchase Point : Shopee
07 Jul 2024,yohanafransiska,yohanafransiska recommends this product!,Membuatwajaahcerahkdmmdbdvshanbtidakberkomedowajahcerahdipagihahdjavahdbmabsvsmdbdbdjvavvdndnvvdbdgsvsvvsbbdvdbdndbdvsmsvsvsvsvsbdbdndnsbsbsbsbdgdvcafabdmdbdjebdvdbxvxmsbdvdnsnzvsnsbzmxmxndbdnfnnxbbds,Usage Period : 1 month - 3 months Purchase Point : Shopee
07 Jul 2024,tinneywinnie,tinneywinnie recommends this product!,"Jujur di aku pribadi cocok banget, formulanya yang ringan dan cepat meresap juga disukai karena tidak membuat kulit terasa lengket atau berminyak. Selain itu, produk ini cocok untuk berbagai jenis kulit, termasuk kulit sensitif, karena tidak mengandung bahan iritatif. Secara keseluruhan, serum ini dinilai efektif dan menjadi favorit bagi banyak orang yang mencari solusi untuk kulit lebih cerah dan sehat",Usage Period : More than 1 year Purchase Point : Tiktok Shop
07 Jul 2024,arenkaa84,arenkaa84 recommends this product!,"aku mencoba produk ini karena penasaran sama produknya. produk ini muncul cukup tertarik nyoba karna ada campuran beet nya. Teksturnya thick tapi aku pakenya sampe 5 tetes karna instruksi pemakaiannya 5-10 tetes. Agak licin di muka dan ngga terlalu cepat menyerap, tapi hasilnya best banget oyyyy. Kulit jadi cerahan, HPI memudar banget dan glowingnyaaa sangat nyata. ",Usage Period : 1 month - 3 months Purchase Point : Shopee
07 Jul 2024,aleeyairma07,aleeyairma07 recommends this product!,"so far so good for me. Baunya nyaman buat hidung, tekturnya cukup kental dan gampang banget nyerap. Pemakaian beberapa hari udh keliatan hasilnya. Aku juga ngerasa jerawat jadi ga gampang muncul. nice sih produk ini tuh",Usage Period : 1 week - 1 month Purchase Point : Female Daily Studio
07 Jul 2024,aisyah_al,aisyah_al recommends this product!,Udah beli serum ini beberapa kali padahal aku tipe yang jarang sampe repurchase skincare karena kulit badakku kurang ngefek dipakein produk-produk skincare. Tapi yang satu ini cukup ngefek di kulitku dan aku lebih suka yang kandungan niacinamidenya 5%,Usage Period : More than 1 year Purchase Point : Tokopedia
06 Jul 2024,resyashaffa,resyashaffa doesn't recommend this product! ,"Produk bekerja dengan baik mencerahkan kulitku cukup calming waktu iritasi sinar matahari. Ga bikin bruntusann cocok bangett bakal repurchase.Kulitku makin membaik,combo sama retinolnya. Recommended pokoknya wajib bgtt dicoba yg udah cocok sama yg 5%. ",Usage Period : 6 months - 1 year Purchase Point : Beautyhaul
06 Jul 2024,rosioceee,rosioceee recommends this product!,"Pake produk ini cukup membantu si dikulit wajah, teksturnya lembut mudah diaplikasikan ke wajah, bikin nyaman ga berbekas juga, gampang meresap diwajah, kemasannya juga bagus praktis dan kekinian banget, cukup mahal sih tapi worth it. ",Usage Period : 1 month - 3 months Purchase Point : Traditional Market
06 Jul 2024,Diaharmiati_,Diaharmiati_ recommends this product!,"Jadi pertama tau brand ini dari kado ulang tahun dari adek, cobalah dari pada sia sia, dan akhirnya jatuh cibtaa serumnya cinta banget Bannget, dari situ sampe sekarang sudah berkerjaa selalu beli lagi lagi lagi, paling murah beli gede labgsung sih, cinta bet pokoonyaa ð¥°ð¥°",Usage Period : Less than 1 week Purchase Point : Official Brand Store
06 Jul 2024,alvikrnsr,alvikrnsr recommends this product!,"Suka kesell kalo punya kulit wajah yang sensitif, pengen pake produk lokal yang bisa beli di ecommerce tanpa ribet tapi kebanyakan gak cocok sama sekali. Akhirnya beraniin diri coba in, dari yg niacinmidenya 5% sampe akhirnya naik ke 10%. Dan tenyataaa super cocok. Muka cerahannn ð",Usage Period : 6 months - 1 year Purchase Point : Brand Website
06 Jul 2024,Puspitarini17,Puspitarini17 recommends this product!,"Kayaknya aku agak ga cocok sama niacinamide deh. Ada rasa gatal dan cekit""nya kalau pake skincare yg ada niacinamidenya. Untuk serumnya sendiri, cukup mudah meresapnya. Diratakan juga gampang. Efek memudarkan bekas jerawat nya terlihat setelah 3minggu pemakaian, tapi mudar tipis tipis.",Usage Period : 1 month - 3 months Purchase Point : Shopee
06 Jul 2024,Yunayuninda,Yunayuninda recommends this product!,"Mengandung niacimade jadi Bikin cerahan dikulitt menyamarkan noda hitam juga, bikin lembab kulit wajah, ga ada drama drama perih diwajah, makenya pun juga gampang banget. Teksturnya ga lengkett ditangan. Tempatnya pun juga ga gampang tumpah",Usage Period : 3 months - 6 months Purchase Point : Female Daily Studio
06 Jul 2024,niluhriyani,niluhriyani recommends this product!,Aku udh beli ini sampe botol ke5 karena sebagus itudi kulitku yang tadinya sempet berjerawar lumayan meradang dan akusampe kasi rekomendasi serum ini ke temanku yang baru terjun ke dunia perskincarean ini dann ternyata cocokuntuk dia hehehe,Usage Period : More than 1 year Purchase Point : Shopee
06 Jul 2024,Tutuwww_,Tutuwww_ recommends this product!,"serum kecintaan aku banget ini mah pokoknya udah habis berbotol botol hahahah, dan serum ini bener bener cocok dokulit aku ini bener bener honest review yaaa hahahah dan bener bener best banget di kulit aku yang sensoy ini love deh pokokna mah",Usage Period : More than 1 year Purchase Point : Tiktok Shop
06 Jul 2024,auliasulis00,auliasulis00 recommends this product!,"wow pertama kali pake serum ini langsung kaget, karna efeknya bener bener bikin shock. sekali pake langsung kinclong, apalagi kalo pakenya dibarengin sama AHA BHA. langsung pengen repurchase lagi kalo serumnya abis karna emang se oke itu",Usage Period : 3 months - 6 months Purchase Point : Lazada
